Title,Rank,Lifetime Gross,Overall Rank,Year
Alvin and the Chipmunks: Chipwrecked,159,"$133,110,742 ",487,2011
Wonder,160,"$132,422,809 ",490,2017
Fantastic Four: Rise of the Silver Surfer,161,"$131,921,738 ",495,2007
The Last Airbender,162,"$131,772,187 ",496,2010
Rio 2,163,"$131,538,435 ",497,2014
"Honey, I Shrunk the Kids",164,"$130,724,172 ",500,1989
The Flintstones,165,"$130,531,208 ",501,1994
The Peanuts Movie,166,"$130,178,411 ",505,2015
Robots,167,"$128,200,012 ",517,2005
Into the Woods,168,"$128,002,372 ",520,2014
Rocky IV,169,"$127,873,716 ",521,1985
Enchanted,170,"$127,807,262 ",522,2007
Sleepless in Seattle,171,"$126,808,165 ",533,1993
Smokey and the Bandit,172,"$126,737,428 ",534,1977
Bee Movie,173,"$126,631,277 ",537,2007
The Truman Show,174,"$125,618,201 ",541,1998
Rocky III,175,"$125,049,125 ",549,1982
Life of Pi,176,"$124,987,023 ",551,2012
Cloudy with a Chance of Meatballs,177,"$124,870,275 ",553,2009
Rango,178,"$123,477,607 ",560,2011
The Good Dinosaur,179,"$123,087,120 ",563,2015
The Hunt for Red October,180,"$122,012,643 ",567,1990
Mulan,181,"$120,620,254 ",575,1998
Cloudy with a Chance of Meatballs 2,182,"$119,793,567 ",582,2013
Hook,183,"$119,654,823 ",583,1991
G-Force,184,"$119,436,770 ",586,2009
On Golden Pond,185,"$119,285,432 ",588,1981
Back to the Future Part II,186,"$119,000,002 ",591,1989
Hairspray,187,"$118,946,291 ",592,2007
A Series of Unfortunate Events,188,"$118,634,549 ",595,2004
Lightyear,189,"$118,307,188 ",598,2022
Rocky,190,"$117,235,147 ",606,1976
The Towering Inferno,191,"$116,000,000 ",617,1974
You've Got Mail,192,"$115,821,495 ",618,1998
Remember the Titans,193,"$115,719,751 ",620,2000
Peter Rabbit,194,"$115,253,424 ",624,2018
Big,195,"$115,227,281 ",625,1988
The Karate Kid Part II,196,"$115,103,979 ",627,1986
American Graffiti,197,"$115,000,000 ",628,1973
Dumbo,198,"$114,766,307 ",629,2019
Bolt,199,"$114,053,579 ",633,2008
Maleficent: Mistress of Evil,200,"$113,929,605 ",634,2019
