Rank,Title,Lifetime Gross,Max Theaters,Opening,Open Th,Release Date,Distributor
62,Captain America: The First Avenger,"$176,654,505","3,715","$65,058,524","3,715","Jul 22, 2011",Paramount Pictures
63,Black Adam,"$168,152,111","4,402","$67,004,323","4,402","Oct 21, 2022",Warner Bros.
64,Eternals,"$164,870,234","4,090","$71,297,219","4,090","Nov 5, 2021",Walt Disney Studios Motion Pictures
65,Batman Returns,"$162,831,698","2,644","$45,687,711","2,644","Jun 19, 1992",Warner Bros.
66,X-Men,"$157,299,718","3,112","$54,471,475","3,025","Jul 14, 2000",Twentieth Century Fox
67,X-Men: Apocalypse,"$155,442,489","4,153","$65,769,562","4,150","May 27, 2016",Twentieth Century Fox
68,Fantastic Four,"$154,696,080","3,619","$56,061,504","3,602","Jul 8, 2005",Twentieth Century Fox
69,X-Men: First Class,"$146,408,305","3,692","$55,101,604","3,641","Jun 3, 2011",Twentieth Century Fox
70,Shazam!,"$140,371,656","4,306","$53,505,326","4,217","Apr 5, 2019",Warner Bros.
71,Teenage Mutant Ninja Turtles,"$135,265,915","2,377","$25,398,367","2,006","Mar 30, 1990",New Line Cinema
72,The Incredible Hulk,"$134,806,913","3,508","$55,414,050","3,505","Jun 13, 2008",Universal Pictures
73,Wanted,"$134,508,551","3,185","$50,927,085","3,175","Jun 27, 2008",Universal Pictures
74,Superman,"$134,218,018",817,"$7,465,343",508,"Dec 15, 1978",Warner Bros.
75,The Wolverine,"$132,556,852","3,924","$53,113,752","3,924","Jul 26, 2013",Twentieth Century Fox
76,Hulk,"$132,177,234","3,674","$62,128,420","3,660","Jun 20, 2003",Universal Pictures
77,Fantastic Four: Rise of the Silver Surfer,"$131,921,738","3,963","$58,051,684","3,959","Jun 15, 2007",Twentieth Century Fox
78,The Peanuts Movie,"$130,178,411","3,902","$44,213,073","3,897","Nov 6, 2015",Twentieth Century Fox
79,Kingsman: The Secret Service,"$128,261,724","3,282","$36,206,331","3,204","Feb 13, 2015",Twentieth Century Fox
80,The Mask,"$119,938,730","2,516","$23,117,068","2,360","Jul 29, 1994",New Line Cinema
81,Green Lantern,"$116,601,172","3,816","$53,174,303","3,816","Jun 17, 2011",Warner Bros.
82,Ghost Rider,"$115,802,596","3,620","$45,388,836","3,619","Feb 16, 2007",Sony Pictures Entertainment (SPE)
83,Superman II,"$108,185,706","1,878","$14,100,523","1,397","Jun 19, 1981",Warner Bros.
84,Watchmen,"$107,509,799","3,611","$55,214,334","3,611","Mar 6, 2009",Warner Bros.
85,Batman & Robin,"$107,325,195","2,942","$42,872,605","2,934","Jun 20, 1997",Warner Bros.
86,300: Rise of an Empire,"$106,580,051","3,490","$45,038,460","3,470","Mar 7, 2014",Warner Bros.
87,Road to Perdition,"$104,454,762","2,332","$22,079,481","1,797","Jul 12, 2002",DreamWorks Distribution
88,Dick Tracy,"$103,738,726","2,332","$22,543,911","2,332","Jun 15, 1990",Walt Disney Studios Motion Pictures
89,Daredevil,"$102,543,518","3,474","$40,310,419","3,471","Feb 14, 2003",Twentieth Century Fox
90,Casper,"$100,328,194","2,757","$16,840,385","2,714","May 26, 1995",Universal Pictures
91,Cowboys & Aliens,"$100,240,551","3,754","$36,431,290","3,750","Jul 29, 2011",Universal Pictures
92,Kingsman: The Golden Circle,"$100,229,647","4,038","$39,023,010","4,003","Sep 22, 2017",Twentieth Century Fox
93,The Green Hornet,"$98,780,042","3,584","$33,526,876","3,584","Jan 14, 2011",Sony Pictures Entertainment (SPE)
94,RED,"$90,380,162","3,349","$21,761,408","3,255","Oct 15, 2010",Summit Entertainment
95,Oblivion,"$89,107,235","3,792","$37,054,485","3,783","Apr 19, 2013",Universal Pictures
96,Alita: Battle Angel,"$85,838,210","3,802","$28,525,613","3,790","Feb 14, 2019",Twentieth Century Fox
97,Blade II,"$82,348,319","2,707","$32,528,016","2,707","Mar 22, 2002",New Line Cinema
98,Teenage Mutant Ninja Turtles: Out of the Shadows,"$82,051,601","4,071","$35,316,382","4,071","Jun 3, 2016",Paramount Pictures
99,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"$78,656,813","2,868","$20,030,473","2,868","Mar 22, 1991",New Line Cinema
100,The Adventures of Tintin,"$77,591,831","3,087","$9,720,993","3,087","Dec 21, 2011",Paramount Pictures
